"","neighbourhood satisfaction"
"population centre",""
"rural","91.4"
"small population centre","87.9"
"medium population centre","83.1"
"large urban population centre","83.8"
"neighbourhood population density",""
"lowest quartile of households","88.7"
"second quartile of households","86.0"
"third quartile of households","82.6"
"highest quartile of households","80.8"
"tenure",""
"owner","87.9"
"renter","80.4"
"social and affordable housing status",""
"renter in social and affordable housing","75.0"
"renter not in social and affordable housing","81.2"
