"club","season","league","league","league","national cup","national cup","continental","continental","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals"
"rheindorf altach","2010-11","erste liga","15","4","3","2","-","-","18","6"
"molde","2011","tippeligaen","22","3","5","2","","","27","5"
"molde","2012","tippeligaen","19","5","3","0","5","0","27","5"
"molde","2013","tippeligaen","12","0","1","1","0","0","13","1"
"molde","2014","tippeligaen","0","0","0","0","0","0","0","0"
"molde","2015","tippeligaen","1","0","0","0","0","0","1","0"
"molde","2016","tippeligaen","6","1","0","0","0","0","6","1"
"molde","total","total","60","9","9","3","5","0","74","12"
"minnesota united","2017","mls","0","0","0","0","-","-","0","0"
"colorado rapids","2017","mls","15","1","2","0","-","-","17","1"
"career total","career total","career total","90","13","12","5","5","0","109","18"
