"age group","exercised outdoors","exercised outdoors","exercised outdoors","exercised indoors","exercised indoors","exercised indoors","increased tv","increased tv","increased tv","increased internet","increased internet","increased internet","increased video games","increased video games","increased video games","increased 2 or 3 types of screens","increased 2 or 3 types of screens","increased 2 or 3 types of screens"
"age group","%","95% ci","95% ci","%","95% ci","95% ci","%","95% ci","95% ci","%","95% ci","95% ci","%","95% ci","95% ci","%","95% ci","95% ci"
"age group","%","from","to","%","from","to","%","from","to","%","from","to","%","from","to","%","from","to"
"20 years and older","","","","","","","","","","","","","","","","","",""
"men","62.5","58.7","66.0","54.9","51.5","58.4","59.8","56.3","63.2","63.5","60.2","66.6","24.1","21.2","27.3","52.7","49.1","56.2"
"women","64.4","61.1","67.6","63.0","59.6","66.3","66.0","63.2","68.6","68.7","65.6","71.6","16.0","13.6","18.6","56.7","53.4","60.0"
"20 to 34 years","","","","","","","","","","","","","","","","","",""
"men","56.4","47.8","64.6","54.5","46.1","62.6","59.6","50.4","68.2","75.8","67.6","82.5","50.6","42.3","58.9","63.9","54.9","72.1"
"women","62.9","55.0","70.2","65.2","57.8","72.0","72.7","66.2","78.3","74.8","67.5","80.9","29.4","23.1","36.6","67.8","60.7","74.3"
"35 to 54 years","","","","","","","","","","","","","","","","","",""
"men","58.8","52.9","64.4","56.7","51.1","62.1","61.8","56.2","67.2","62.9","57.2","68.2","21.3","17.5","25.6","53.6","48.2","58.9"
"women","62.2","56.7","67.4","60.8","55.3","66.0","68.1","63.6","72.4","74.2","69.8","78.3","15.5","11.8","19.9","60.0","55.0","64.8"
"55 and over","","","","","","","","","","","","","","","","","",""
"men","69.7","64.4","74.5","53.7","48.7","58.5","58.1","53.4","62.7","55.9","51.1","60.7","7.2","5.1","10.0","43.3","38.2","48.6"
"women","67.2","62.1","71.9","63.4","58.6","68.0","60.2","55.7","64.5","60.5","55.8","65.1","7.3","5.5","9.7","46.3","41.2","51.4"
