"club","season","league","league","league","fa cup","fa cup","league cup","league cup","europe","europe","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"manchester city","2005-06","premier league","24","0","3","0","1","0","-","-","28","0"
"manchester city","2006-07","premier league","24","1","4","2","1","0","-","-","29","3"
"manchester city","2007-08","premier league","33","4","3","0","3","0","-","-","39","4"
"manchester city","2008-09","premier league","35","9","0","0","1","1","14","3","50","13"
"manchester city","2009-10","premier league","22","2","3","0","5","1","-","-","30","3"
"manchester city","total","total","138","16","13","2","11","2","14","3","176","23"
"aston villa","2010-11","premier league","10","0","0","0","2","0","0","0","12","0"
"aston villa","2011-12","premier league","24","1","2","0","2","0","-","-","28","1"
"aston villa","2012-13","premier league","13","0","1","0","3","0","-","-","17","0"
"aston villa","total","total","47","1","3","0","7","0","0","0","57","1"
"newcastle united","2010-11","premier league","2","0","-","-","2","0","none","none","none","none"
"stoke city","2013-14","premier league","25","2","1","0","3","1","-","-","29","3"
"stoke city","2014-15","premier league","17","0","2","3","1","0","-","-","20","3"
"stoke city","2015-16","premier league","13","0","1","0","2","0","-","-","16","0"
"stoke city","2016-17","premier league","0","0","0","0","0","0","-","-","0","0"
"stoke city","2017-18","premier league","4","0","1","0","0","0","-","-","5","0"
"stoke city","total","total","59","2","5","3","6","1","-","-","70","6"
"bolton wanderers","2018-19","efl championship","0","0","0","0","0","0","-","-","0","0"
"career total","career total","career total","246","19","21","5","24","3","14","3","305","30"
