"","distribution","distribution","distribution","distribution"
"","businesses owned by immigrants","businesses owned by immigrants","businesses owned by non-immigrants","businesses owned by non-immigrants"
"","alus","percent","alus","percent"
"firm size","","","",""
"0 to 0.99","56,820","39.4","171,340","26.7"
"1 to 1.99","28,910","20.0","116,430","18.1"
"2 to 3.99","24,330","16.9","120,220","18.7"
"4 to 9.99","21,400","14.8","120,620","18.8"
"10 to 24.99","8,850","6.1","68,880","10.7"
"25 to 49.99","2,620","1.8","25,820","4.0"
"50 and more","1,430","1.0","19,530","3.0"
"all firms","144,360","100.0","642,840","100.0"
