"field","started in fy 2006 or fy 2007","started in fy 2008 or fy 2009","started in fy 2010 or fy 2011","started in fy 2012 or fy 2013","started in fy 2014 or fy 2015","planned to start in fy 2016 or fy 2017"
"all research space","8.8","9.9","8.1","6.6","5.2","9.6"
"agricultural sciences","0.5","0.4","0.4","0.4","0.4","0.5"
"biological and biomedical sciences","2.9","3.5","2","2","1.5","2.3"
"computer and information sciences","0.6","0.3","0.1","0.2","0.1","0.2"
"engineering","1.3","2.1","1.3","1.4","1","1.5"
"geosciences, atmospheric, and ocean sciences","0.3","0.1","0.3","0.2","0.2","0.4"
"health sciences","1.7","1.9","2.8","1.6","1","2.6"
"mathematics and statistics","","","","","",""
"natural resources and conservation","na","na","na","na","",""
"physical sciences","0.7","0.9","0.6","0.6","0.7","1"
"psychology","0.1","0.3","0.1","","0.1","0.1"
"social sciences","0.1","0.2","0.1","0.1","","0.3"
"other","0.7","0.3","0.3","0.1","0.2","0.7"
