"club","season","league","league","league","cup","cup","continental","continental","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals"
"lyn","2005","tippeligaen","5","1","0","0","-","-","5","1"
"lyn","2006","tippeligaen","13","8","0","0","2","0","15","8"
"lyn","2007","tippeligaen","11","5","0","0","-","-","11","5"
"lyn","total","total","29","14","0","0","2","0","31","14"
"1899 hoffenheim","2007-08","2. bundesliga","27","12","3","0","-","-","30","12"
"1899 hoffenheim","2008-09","bundesliga","24","6","1","0","-","-","24","6"
"1899 hoffenheim","2009-10","bundesliga","23","7","3","1","-","-","26","8"
"1899 hoffenheim","2010-11","bundesliga","5","0","1","0","-","-","6","0"
"1899 hoffenheim","2011-12","bundesliga","13","0","2","1","-","-","15","1"
"1899 hoffenheim","total","total","92","25","10","2","-","-","102","27"
"schalke 04","2011-12","bundesliga","10","1","0","0","5","0","15","1"
"schalke 04","2012-13","bundesliga","4","0","1","0","2","0","7","0"
"schalke 04","2013-14","bundesliga","15","3","1","0","3","0","19","3"
"schalke 04","2014-15","bundesliga","6","0","0","0","4","1","10","1"
"schalke 04","total","total","35","4","2","0","14","1","51","5"
"aik","2016","allsvenskan","10","6","0","0","-","-","10","6"
"shenzhen","2017","china league one","17","5","0","0","-","-","17","5"
"aik","2017","allsvenskan","9","5","0","0","1","1","10","6"
"bolton wanderers","2017-18","championship","0","0","0","0","-","-","0","0"
"elfsborg","2018","allsvenskan","10","4","0","0","-","-","10","4"
"aik","2019","allsvenskan","0","0","2","2","0","0","2","2"
"career total","career total","career total","202","63","14","4","17","2","233","69"
