"season","team","g","gs","passing","passing","passing","passing","passing","passing","passing","rushing","rushing","rushing"
"season","team","g","gs","qb rat","comp","att","pct","yds","td","int","att","yds","td"
"1987","los angeles raiders","0","0","-","-","-","-","-","-","-","-","-","-"
"1988","los angeles raiders","10","8","66.6","105","238","44.1","1,643","8","7","30","35","0"
"1989","los angeles raiders","10","7","78.4","108","217","49.8","1,677","13","9","16","39","0"
"1990","los angeles raiders","0","0","-","-","-","-","-","-","-","-","-","-"
"1991","dallas cowboys","8","4","77.2","68","137","49.6","909","5","2","7","14","0"
"1992","dallas cowboys","16","0","69.7","12","18","66.7","154","0","1","4","7","0"
"1993","phoenix cardinals","16","14","82.5","258","418","61.7","3,164","18","17","22","45","0"
"1994","arizona cardinals","9","7","61.6","130","255","51.0","1,545","5","9","22","39","1"
"1995","jacksonville jaguars","7","6","60.5","71","142","50.0","952","4","7","5","32","0"
"1996","carolina panthers","8","4","93.5","69","123","56.1","879","8","2","12","17","0"
"1997","carolina panthers","7","3","83.6","89","153","58.2","1,032","6","3","4","32","0"
"1998","carolina panthers","12","12","88.2","216","343","63.0","2,613","17","12","22","26","0"
"1999","carolina panthers","16","16","94.6","343","571","60.1","4,436","36","15","27","124","2"
"2000","carolina panthers","16","16","79.7","324","533","60.8","3,730","19","18","44","106","1"
"2001","denver broncos","0","0","-","-","-","-","-","-","-","-","-","-"
"2002","denver broncos","8","3","82.7","68","117","58.1","925","6","5","5","9","1"
"2003","denver broncos","4","2","49.0","33","63","52.4","389","2","5","5","13","0"
"total","total","147","102","80.3","1,894","3,328","56.9","24,046","147","112","225","496","5"
