"club","season","league","league","league","fa cup","fa cup","league cup","league cup","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"millwall","2005-06","championship","22","4","2","1","0","0","0","0","24","5"
"millwall","2006-07","league one","29","3","1","0","0","0","1","0","31","3"
"millwall","total","total","51","7","3","1","0","0","1","0","55","8"
"torquay united","2006-07","league two","2","1","0","0","0","0","0","0","2","1"
"yeovil town","2007-08","league one","23","0","0","0","1","0","0","0","24","0"
"brentford","2008-09","league two","34","0","1","1","1","0","1","1","37","2"
"brentford","2009-10","league one","0","0","0","0","1","0","0","0","1","0"
"brentford","total","total","34","0","1","1","2","0","1","1","38","2"
"torquay united","2009-10","league two","4","0","0","0","0","0","0","0","4","0"
"ostersunds fk","2010","swedish division 1","7","1","0","0","0","0","2","0","9","1"
"stevenage","2010-11","league two","1","0","0","0","0","0","0","0","1","0"
"salisbury city","2011-12","conference south","25","10","3","0","0","0","0","0","28","10"
"eastleigh","2012-13","conference south","11","1","0","0","0","0","0","0","11","1"
"sutton united","2012-13","conference south","27","11","0","0","0","0","3","0","30","11"
"sutton united","2013-14","conference south","16","1","0","0","0","0","0","0","16","1"
"sutton united","2014-15","conference south","7","0","0","0","0","0","0","0","7","0"
"sutton united","total","total","50","12","0","0","0","0","3","0","53","12"
"tonbridge angels","2014-15","il premier division","25","3","0","0","0","0","0","0","25","3"
"career totals","career totals","career totals","235","35","7","2","3","0","7","1","251","38"
