"","agricultural region 1","agricultural region 1","agricultural region 3","agricultural region 3","agricultural region 4","agricultural region 4"
"","french-language workers","english-language workers","french-language workers","english-language workers","french-language workers","english-language workers"
"","percent","percent","percent","percent","percent","percent"
"sex","","","","","",""
"female","58.4","54.5","54.3","54.5","60.7","60.4"
"male","41.5","45.5","45.8","45.5","39.3","39.6"
"marital status","","","","","",""
"single","37.8","48.1","43.9","41.5","41.4","42.0"
"married","37.6","31.8","33.8","37.7","29.5","35.5"
"common-law","16.3","11.4","15.8","12.9","20.1","11.8"
"separated, divorced or widowed","8.2","8.8","6.5","7.9","9.2","10.7"
