"club","season","division","league","league","fa cup","fa cup","league cup","league cup","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"derby county","1997-98","premier league","9","0","1","0","2","0","0","0","12","0"
"derby county","1998-99","premier league","7","0","2","0","1","0","0","0","10","0"
"derby county","total","total","16","0","3","0","3","0","0","0","22","0"
"huddersfield town","2000-01","first division","14","0","0","0","0","0","0","0","14","0"
"wigan athletic","2001-02","second division","0","0","0","0","0","0","0","0","0","0"
"preston north end","2004-05","championship","1","0","1","0","0","0","0","0","2","0"
"sheffield united","1998-99","first division","10","0","0","0","0","0","0","0","10","0"
"sheffield united","1999-2000","first division","39","0","2","0","2","0","0","0","43","0"
"sheffield united","2000-01","first division","27","0","1","0","0","0","0","0","28","0"
"sheffield united","2001-02","first division","8","0","0","0","1","0","0","0","9","0"
"sheffield united","2002-03","first division","32","1","4","0","2","0","3","0","41","1"
"sheffield united","2003-04","first division","42","1","3","0","2","0","0","0","47","1"
"sheffield united","2004-05","championship","9","0","0","0","0","0","0","0","9","0"
"sheffield united","2005-06","championship","27","0","1","0","1","0","0","0","29","0"
"sheffield united","2006-07","premier league","19","0","0","0","1","0","0","0","20","0"
"sheffield united","total","total","213","2","11","0","9","0","3","0","236","2"
"barnsley","2007-08","championship","24","0","4","0","2","0","0","0","30","0"
"barnsley","2008-09","championship","37","0","0","0","1","0","0","0","38","0"
"barnsley","2009-10","championship","14","0","0","0","4","0","0","0","18","0"
"barnsley","total","total","75","0","4","0","7","0","0","0","86","0"
"sheffield united","2010-11","championship","8","1","1","0","1","0","0","0","10","1"
"port vale","2011-12","league two","6","0","1","0","0","0","0","0","7","0"
"bradford city","2011-12","league two","17","0","0","0","0","0","0","0","17","0"
"career total","career total","career total","350","3","21","0","20","0","3","0","394","3"
