"","participation rate","participation rate","average time spent","average time spent","average time spent","average time spent"
"","men","women","men","women","men","women"
"","percent","percent","minutes","minutes","hours","hours"
"paid work","13","6","398","343","6.6","5.7"
"unpaid household work","83","91","177","209","2.9","3.5"
"meal preparation","61","76","78","91","1.3","1.5"
"indoor cleaning","33","68","75","122","1.2","2.0"
"outdoor cleaning/maintenance","30","10","166","99","2.8","1.7"
"other unpaid work","28","34","86","80","1.4","1.3"
"shopping for goods and services","36","39","82","87","1.4","1.4"
"active pursuits","75","77","213","209","3.6","3.5"
"engaging in civic, religious and organizational activities","8","10","119","131","2.0","2.2"
"socializing and communicating","37","46","135","135","2.2","2.2"
"engaging in cultural activities","3","4","138","156","2.3","2.6"
"engaging in leisure and physical activities","44","39","132","133","2.2","2.2"
"using technology","30","27","129","110","2.1","1.8"
"passive leisure activities","92","89","291","276","4.9","4.6"
"watching television or videos","87","82","255","235","4.2","3.9"
"listening to music and radio","6","3","104","109","1.7","1.8"
"reading","35","41","119","119","2.0","2.0"
"sleeping","100","100","542","544","9.0","9.1"
