"type of correctional supervision","total-initial entries","total-initial entries","total-initial entries","total-initial entries"
"type of correctional supervision","number","percent","percent change in the number from 2017/2018","percent change in the number from 2014/2015"
"custody","1,435","28","-18","-35"
"pre-trial detention","1,369","26","-18","-36"
"sentenced custody","66","1","-16","-19"
"secure custody and supervision","31","1","-24","-17"
"open custody and supervision","35","1","-8","-21"
"community supervision","3,735","72","-10","-24"
"probation","2,440","47","-12","-27"
"deferred custody and supervision","80","2","-22","-24"
"intensive support and supervision","23","0","-15","21"
"other community","1,192","23","-2","-17"
"total correctional services","5,170","100","-12","-27"
