"season","team","games","overall fgs","overall fgs","overall fgs","overall fgs","overall fgs","pats","pats","pats","pats","kickoffs","kickoffs","kickoffs","kickoffs","kickoffs","points"
"season","team","gp","blk","lng","fg att","fgm","pct","xp att","xpm","pct","blk","ko","avg","tb","ret","avg","points"
"1996","ne","3","0","29","3","2","66.7","9","9","100.0","0","13","63.7","0","13","24.8","15"
"1997","ne","2","0","46","5","3","60.0","2","2","100.0","0","7","61.4","1","6","20.2","11"
"1998","ne","1","0","27","1","1","100.0","1","1","100.0","0","3","64.0","0","3","22.0","4"
"2001","ne","3","0","48","7","6","85.7","6","6","100.0","0","13","62.2","0","13","19.9","24"
"2003","ne","3","1","46","10","7","70.0","6","6","100.0","0","17","59.6","0","17","20.8","27"
"2004","ne","3","0","48","5","5","100.0","10","10","100.0","0","18","58.1","1","17","16.9","25"
"2005","ne","2","0","40","3","2","66.7","5","5","100.0","0","9","62.8","0","9","20.1","11"
"2006","ind","4","0","51","15","14","93.3","7","7","100.0","0","26","61.0","2","23","24.0","49"
"2007","ind","1","0","46","1","1","100.0","3","3","100.0","0","5","73.2","1","4","25.8","6"
"2008","ind","1","0","43","1","1","100.0","2","2","100.0","0","5","71.8","1","4","26.5","5"
"2010","ind","1","0","50","3","3","100.0","1","1","100.0","0","-","-","-","-","-","10"
"2012","ind","1","0","52","4","3","75.0","0","0","-","-","-","-","-","-","-","9"
"2013","ind","2","0","37","3","3","100.0","8","8","100.0","0","-","-","-","-","-","17"
"2014","ind","3","0","53","7","5","71.4","5","5","100.0","0","-","-","-","-","-","21"
"2018","ind","2","0","-","1","0","0.00","5","4","80.0","0","-","-","-","-","-","4"
"total","total","32","1","53","69","56","81.2","70","69","98.6","0","116","62.3","6","109","21.6","238"
