"club","season","league","league","league","national cup","national cup","continental","continental","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"bate borisov","2009","belarusian premier league","22","1","none","none","10","0","none","none","32","0"
"bate borisov","2010","belarusian premier league","23","1","2","0","13","0","0","0","38","1"
"bate borisov","2011","belarusian premier league","15","2","0","0","3","0","1","0","19","2"
"bate borisov","total","total","60","4","none","none","26","0","1","0","87","4"
"dynamo moscow","2011-12","russian premier league","2","0","1","0","none","none","3","0","none","none"
"dynamo moscow","2012-13","russian premier league","1","0","0","0","0","0","none","none","1","0"
"dynamo moscow","2013-14","russian premier league","0","0","0","0","none","none","0","0","none","none"
"dynamo moscow","total","total","3","0","1","0","0","0","none","none","4","0"
"mordovia saransk","2012-13","russian premier league","20","0","1","0","-","-","none","none","21","0"
"mordovia saransk","2013-14","russian national league","5","0","1","0","-","-","none","none","6","0"
"mordovia saransk","2014-15","russian premier league","22","0","3","0","-","-","none","none","25","0"
"mordovia saransk","2015-16","russian premier league","17","0","1","0","-","-","none","none","18","0"
"mordovia saransk","total","total","44","0","5","0","none","none","none","none","49","0"
"astana","2016","kazakhstan premier league","9","0","3","0","11","0","none","none","23","0"
"astana","2017","kazakhstan premier league","27","1","1","0","12","0","1","0","41","1"
"astana","2018","kazakhstan premier league","5","0","0","0","2","0","0","0","7","0"
"astana","total","total","41","1","4","0","25","0","1","0","71","1"
"career total","career total","career total","168","5","13","0","51","0","2","0","234","5"
