"control variables","no controls","property characteristics","owner characteristics"
"control variables","2017 dollars","2017 dollars","2017 dollars"
"vancouver - all properties","","",""
"all property types","37,500","13,300","155,200"
"single detached","255,100","22,600","412,100"
"semi-detached","-126,400","-65,900","-22,300"
"row house","9,400","-19,200","56,800"
"condominium","19,800","11,000","60,900"
"","2016 dollars","2016 dollars","2016 dollars"
"toronto - all properties","","",""
"all property types","-70,300","-53,300","-22,500"
"single detached","-19,500","-52,300","41,600"
"semi-detached","-88,200","-36,900","-56,700"
"row house","-33,300","-35,400","-12,900"
"condominium","-52,400","-29,100","-23,500"
