"season","club","division","league","league","fa cup","fa cup","league cup","league cup","other","other","total","total"
"season","club","division","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"blackpool","1998-99","second division","2","0","1","0","0","0","1","0","4","0"
"wrexham","1999-2000","second division","1","0","0","0","0","0","0","0","1","0"
"bury","2000-01","second division","25","2","2","0","0","0","1","1","28","3"
"bury","2001-02","second division","37","2","2","0","1","0","1","0","41","2"
"bury","bury total","bury total","62","4","4","0","1","0","2","1","69","5"
"stoke city","2004-05","championship","2","0","1","0","0","0","0","0","3","0"
"wigan athletic","2001-02","second division","5","0","0","0","0","0","0","0","5","0"
"wigan athletic","2002-03","second division","35","0","3","0","5","1","2","1","45","2"
"wigan athletic","2003-04","first division","41","1","0","0","2","1","0","0","43","2"
"wigan athletic","2004-05","championship","14","0","0","0","0","0","0","0","14","0"
"wigan athletic","total","total","95","1","3","0","7","2","2","1","107","4"
"plymouth argyle","2005-06","championship","7","0","0","0","0","0","0","0","7","0"
"norwich city","2005-06","championship","11","0","1","0","3","0","0","0","15","0"
"hull city","2006-07","championship","3","0","0","0","0","0","0","0","3","0"
"leicester city","2006-07","championship","13","0","0","0","0","0","0","0","13","0"
"queens park rangers","2007-08","championship","2","0","0","0","0","0","0","0","2","0"
"oldham athletic","2007-08","league one","15","3","0","0","0","0","0","0","15","3"
"preston north end","2005-06","championship","10","1","0","0","0","0","1","0","11","1"
"preston north end","2006-07","championship","5","0","0","0","1","0","0","0","6","0"
"preston north end","2008-09","championship","3","0","0","0","0","0","0","0","3","0"
"preston north end","total","total","18","1","0","0","1","0","1","0","20","1"
"brighton & hove albion","2008-09","league one","13","0","0","0","0","0","1","0","14","0"
"port vale","2009-10","league two","9","0","3","0","0","0","1","0","13","0"
"oldham athletic","2010-11","league one","8","0","0","0","1","0","0","0","9","0"
"fc halifax town","2012-13","conference north","14","0","0","0","0","0","2","0","16","0"
"airbus uk broughton","2012-13","welsh premier league","10","1","1","0","0","0","0","0","11","1"
"chester","2013-14","conference national","29","0","1","0","0","0","2","0","32","0"
"salford city","2014-15","npl division one north","27","4","0","0","0","0","1","0","28","4"
"career total","career total","career total","341","14","15","0","13","2","13","2","382","18"
