"club","season","division","league","league","fa cup","fa cup","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals"
"port vale","1954-55","second division","1","0","0","0","0","0","1","0"
"port vale","1955-56","second division","0","0","0","0","0","0","0","0"
"port vale","1956-57","second division","0","0","0","0","0","0","0","0"
"port vale","1957-58","third division south","27","0","0","0","0","0","27","0"
"port vale","1958-59","fourth division","11","0","0","0","0","0","11","0"
"port vale","1959-60","third division","8","4","0","0","0","0","8","4"
"port vale","total","total","47","4","0","0","0","0","47","4"
"exeter city","1960-61","fourth division","36","6","2","0","2","0","40","6"
"chester","1961-62","fourth division","21","0","2","0","2","0","25","0"
"macclesfield town","1961-62","cheshire county league","11","4","0","0","0","0","11","4"
"macclesfield town","1962-63","cheshire county league","40","7","2","0","5","3","47","10"
"macclesfield town","1963-64","cheshire county league","39","6","5","1","11","2","55","9"
"macclesfield town","1964-65","cheshire county league","42","10","5","2","5","2","52","14"
"macclesfield town","1965-66","cheshire county league","40","7","3","1","6","0","49","8"
"macclesfield town","total","total","172","34","15","4","27","7","214","45"
"career total","career total","career total","276","44","19","4","31","7","326","55"
