"team","year","regular season","regular season","regular season","regular season","regular season","post-season","post-season","post-season"
"team","year","won","lost","ties","win %","finish","won","lost","result"
"bc","1983","11","5","0",".688","1st in west division","1","1","lost in grey cup"
"bc","1984","12","3","1",".800","1st in west division","0","1","lost in division finals"
"bc","1985","13","3","0",".813","1st in west division","2","0","won grey cup"
"bc","1986","12","6","0",".667","2nd in west division","1","1","lost in division finals"
"bc","1987","8","6","0",".573","1st in west division","-","-","(fired)"
"tor","1990","10","8","0",".556","2nd in east division","1","1","lost in division finals"
"ssk","1991","5","6","0",".455","4th in west division","-","-","missed playoffs"
"ssk","1992","9","9","0",".500","3rd in west division","0","1","lost in division semi-finals"
"ssk","1993","11","7","0",".611","3rd in west division","0","1","lost in division semi-finals"
"bal","1994","12","6","0",".667","2nd in east division","2","1","lost in grey cup"
"bal","1995","15","3","0",".833","1st in south division","3","0","won grey cup"
"tor","1996","15","3","0",".833","1st in east division","2","0","won grey cup"
"tor","1997","15","3","0",".833","1st in east division","2","0","won grey cup"
"tor","1998","9","9","0",".500","3rd in east division","0","1","lost in division semi-finals"
"edm","1999","6","12","0",".333","3rd in west division","0","1","lost in division semi-finals"
"edm","2000","10","8","0",".556","2nd in west division","0","1","lost in division semi-finals"
"mtl","2002","13","5","0",".722","1st in east division","2","0","won grey cup"
"mtl","2003","13","5","0",".722","1st in east division","1","1","lost in grey cup"
"mtl","2004","14","4","0",".778","1st in east division","0","1","lost in division finals"
"mtl","2005","10","8","0",".556","2nd in east division","2","1","lost in grey cup"
"mtl","2006","8","6","0",".571","1st in east division","-","-","(stepped down)"
"tor","2008","0","8","0",".000","3rd in east division","-","-","missed playoffs"
"none","team totals","none","none","none","none","none","none","none","none"
"bc","1983-1987","56","23","1",".700","4 west division championships","4","3","1 grey cup"
"tor","1990, 1996- 1998, 2008","49","31","0",".613","2 east division championships","5","2","2 grey cups"
"ssk","1991-1993","25","22","0",".532","0 west division championships","0","2","0 grey cups"
"bal","1994-1995","27","9","0",".750","1 south division championship","5","1","1 grey cup"
"edm","1999-2000","16","20","0",".444","0 west division championships","0","2","0 grey cups"
"mtl","2002-2006","58","28","0",".674","4 east division championships","5","2","1 grey cup"
"total","total","231","133","1",".633","11 division championships","19","13","5 grey cups"
