"club","season","division","league","league","fa cup","fa cup","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals"
"port vale","1975-76","third division","4","2","0","0","0","0","4","2"
"bolton wanderers","1974-75","second division","5","0","0","0","0","0","5","0"
"bolton wanderers","1975-76","second division","3","0","0","0","0","0","3","0"
"bolton wanderers","1976-77","second division","31","16","1","0","10","4","42","20"
"bolton wanderers","1977-78","second division","1","0","0","0","4","0","5","0"
"bolton wanderers","total","total","40","16","1","0","14","4","55","20"
"oldham athletic","1977-78","second division","32","20","2","1","0","0","34","21"
"oldham athletic","1978-79","second division","15","5","0","0","8","2","23","7"
"oldham athletic","total","total","47","25","2","1","8","2","57","28"
"luton town","1978-79","second division","20","1","0","0","0","0","20","1"
"mansfield town","1979-80","third division","37","7","3","0","8","3","48","10"
"burnley","1980-81","third division","38","16","2","0","7","1","47","17"
"burnley","1981-82","third division","22","9","4","3","5","0","31","12"
"burnley","1982-83","second division","26","12","7","2","7","1","40","15"
"burnley","total","total","86","37","13","5","19","2","118","44"
"wigan athletic","1983-84","third division","30","7","4","3","3","0","37","10"
"stockport county","1983-84","fourth division","12","6","0","0","0","0","12","6"
"stockport county","1984-85","fourth division","14","2","1","1","4","2","19","5"
"stockport county","total","total","26","8","1","1","4","2","31","11"
"rochdale","1984-85","fourth division","30","12","0","0","3","2","33","14"
"rochdale","1985-86","fourth division","45","25","4","5","3","1","52","31"
"rochdale","1986-87","fourth division","9","5","1","0","4","2","14","7"
"rochdale","total","total","84","42","5","5","10","5","99","52"
"preston north end","1986-87","fourth division","5","2","0","0","0","0","5","2"
"burnley","1987-88","fourth division","42","6","1","0","11","0","54","6"
"burnley","1988-89","fourth division","3","0","0","0","1","0","4","0"
"burnley","total","total","45","6","1","0","12","0","58","6"
"rochdale","1988-89","fourth division","17","4","0","0","0","0","17","4"
"career total","career total","career total","441","157","29","15","79","18","549","190"
