"club","season","league","league","league","cup","cup","europe","europe","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals"
"atalanta","2003-04","serie b","41","4","1","6","0","0","42","4"
"atalanta","2004-05","serie a","32","3","5","0","0","0","38","3"
"atalanta","2005-06","serie b","0","0","2","0","0","0","2","0"
"atalanta","total","total","73","7","9","0","0","0","82","7"
"fiorentina","2005-06","serie a","20","1","2","0","0","0","22","1"
"fiorentina","2006-07","serie a","36","2","0","0","0","0","36","2"
"fiorentina","2007-08","serie a","34","2","2","0","11","1","47","3"
"fiorentina","2008-09","serie a","34","4","0","0","8","0","42","4"
"fiorentina","2009-10","serie a","36","2","4","0","10","1","50","3"
"fiorentina","2010-11","serie a","29","2","0","0","0","0","29","2"
"fiorentina","2011-12","serie a","30","4","3","0","0","0","33","4"
"fiorentina","total","total","219","17","11","0","29","2","259","19"
"milan","2012-13","serie a","32","4","1","0","6","0","39","4"
"milan","2013-14","serie a","29","3","1","0","7","0","37","3"
"milan","2014-15","serie a","10","0","2","0","-","-","12","0"
"milan","2015-16","serie a","31","0","4","0","-","-","35","0"
"milan","2016-17","serie a","9","0","0","0","-","-","9","0"
"milan","2017-18","serie a","18","1","3","0","5","2","26","3"
"milan","2018-19","serie a","0","0","0","0","0","0","0","0"
"milan","total","total","129","8","10","0","18","2","158","10"
"career total","career total","career total","421","32","30","0","47","4","499","36"
