"title","album details","peak chart positions","peak chart positions","peak chart positions","peak chart positions","peak chart positions","peak chart positions","peak chart positions","peak chart positions","peak chart positions","peak chart positions","peak chart positions","peak chart positions","peak chart positions","sales"
"title","album details","us","us christ","us digi","us ind","uk","uk c&g","aus","can","nld","nor","nz","sco","swi","sales"
"here is love","released: october 12, 2010 label: bethel / integrity format: cd, download, streaming","-","-","-","-","-","-","-","-","-","-","-","-","-","none"
"be lifted high","released: february 17, 2011 label: bethel / kingsway format: cd, download, streaming","-","7","-","-","-","-","-","-","-","-","-","-","-","none"
"the loft sessions","released: january 24, 2012 label: kingsway format: cd, download, streaming","44","3","18","-","-","-","-","-","-","-","-","-","-","none"
"for the sake of the world","released: october 1, 2012 label: bethel / kingsway format: cd, download, streaming","51","2","-","-","-","6","-","-","-","-","-","-","-","none"
"tides live","released: february 25, 2014 label: bethel format: cd, download, streaming","28","1","12","2","-","1","-","-","-","-","-","-","-","none"
"you make me brave","released: april 21, 2014 label: bethel format: cd, download, streaming","10","1","6","1","-","1","34","23","-","-","-","-","-","none"
"we will not be shaken","released: january 26, 2015 label: bethel format: cd, download, streaming","12","1","2","1","34","1","14","9","41","-","10","49","-","us: 30,000"
"have it all","released: march 11, 2016 label: bethel format: cd, download, streaming","12","2","1","-","34","1","8","11","50","16","11","37","-","us: 25,000"
"starlight","released: april 7, 2017 label: bethel format: cd, download, streaming","21","1","3","4","78","1","15","26","100","-","25","60","-","us: 20,000"
"moments: mighty sound","first spontaneous worship album released: may 11, 2018 label: bethel format: cd, download, streaming","168","2","13","10","-","3","-","-","-","-","-","-","68","us: 5,000"
"victory","released: january 25, 2019 label: bethel format: cd, digital download, streaming","56","2","4","2","-","1","23","77","162","-","-","41","19","none"
""-" denotes a recording that did not chart or was not released in that territory",""-" denotes a recording that did not chart or was not released in that territory",""-" denotes a recording that did not chart or was not released in that territory",""-" denotes a recording that did not chart or was not released in that territory",""-" denotes a recording that did not chart or was not released in that territory",""-" denotes a recording that did not chart or was not released in that territory",""-" denotes a recording that did not chart or was not released in that territory",""-" denotes a recording that did not chart or was not released in that territory",""-" denotes a recording that did not chart or was not released in that territory",""-" denotes a recording that did not chart or was not released in that territory",""-" denotes a recording that did not chart or was not released in that territory",""-" denotes a recording that did not chart or was not released in that territory",""-" denotes a recording that did not chart or was not released in that territory",""-" denotes a recording that did not chart or was not released in that territory",""-" denotes a recording that did not chart or was not released in that territory",""-" denotes a recording that did not chart or was not released in that territory"
