"socio-economic characteristic","no police contact in 24 months prior to death","at least one contact with police in 24 months prior to death"
"socio-economic characteristic","percent","percent"
"years employed in the 5 years prior to death","",""
"none","34","34"
"one to four","37","47"
"all five","29","20"
"industry of last held job","",""
"construction","20","23"
"manufacturing","8","10"
"retail trade","10","9"
"transportation and warehousing","7","5"
"administrative and support, waste management and remediation services","11","15"
"accommodation and food services","11","11"
"years receiving social assistance in the 5 years prior to death","",""
"none","45","32"
"one to four","25","34"
"all five","30","34"
"income and social assistance received","dollars","dollars"
"total income for last year employed - mean","25,207","15,325"
"amount of social assistance most recently received - mean","7,875","7,173"
