"club","season","league","league","league","cup","cup","continental","continental","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"huracan","2013-14","primera b nacional","1","0","0","0","-","-","0","0","1","0"
"huracan","2014","primera b nacional","1","0","2","0","-","-","0","0","3","0"
"huracan","2015","primera division","0","0","0","0","0","0","0","0","0","0"
"huracan","2016","primera division","3","0","0","0","2","0","0","0","5","0"
"huracan","2016-17","primera division","11","2","0","0","1","0","0","0","12","2"
"huracan","2017-18","primera division","0","0","0","0","0","0","0","0","0","0"
"huracan","total","total","16","2","2","0","3","0","0","0","21","2"
"talleres","2015","torneo federal a","2","1","0","0","-","-","0","0","2","1"
"patronato","2017-18","primera division","16","0","0","0","-","-","0","0","16","0"
"deportivo cuenca","2018","serie a","3","0","-","-","2","0","0","0","5","0"
"guayaquil city","2019","serie a","3","0","0","0","-","-","0","0","3","0"
"career total","career total","career total","40","3","2","0","3","0","0","0","45","3"
