"fiscal year","all agencies","hhs","nsf","dod","usda","doe","nasa","other agenciesa"
"fiscal year","all agencies","hhs","nsf","dod","usda","doe","nasa","other agenciesa"
"","current $millions","current $millions","current $millions","current $millions","current $millions","current $millions","current $millions","current $millions"
"2011","31460","18164","5113","3923","1449","1160","592","1059"
"2012","30848","17904","5114","3637","1220","1018","971","985"
"2013","29034","16839","4911","3365","1136","1054","884","847"
"","constant fy 2009 $millions","constant fy 2009 $millions","constant fy 2009 $millions","constant fy 2009 $millions","constant fy 2009 $millions","constant fy 2009 $millions","constant fy 2009 $millions","constant fy 2009 $millions"
"2011","30591","17662","4972","3815","1409","1128","576","1030"
"2012","29480","17110","4887","3476","1166","973","928","941"
"2013","27334","15853","4623","3168","1069","992","832","797"
