"","aboriginal identity","aboriginal identity","aboriginal identity"
"","off-reserve first nations","metis","inuit"
"","predicted probability","predicted probability","predicted probability"
"feeding history","","",""
"only breastfed","0.09","0.08","0.06"
"both breastfed and bottle-fed","0.11","0.12","0.09"
"only bottle-fed","0.14","0.12","0.08"
"breastfeeding duration","","",""
"never breastfed","0.14","0.12","0.09"
"breastfed 0 to 6 months","0.11","0.12","0.09"
"breastfed more than 6 months","0.10","0.10","0.09"
