"","2011","2011","2015","2015"
"","thousands","percentage","thousands","percentage"
"persons eligible to vote","24,919.2","100.0","26,079.4","100.0"
"aboriginal people","604.3","2.4","719.6","2.8"
"canadian-born, non-aboriginal persons","19,288.0","77.4","19,832.1","76.0"
"immigrants","4,859.3","19.5","5,366.5","20.6"
"born outside canada, non-immigrants","167.7","0.7","161.3","0.6"
"voters","17,445.1","100.0","20,080.8","100.0"
"aboriginal people","323.2","1.9","490.3","2.4"
"canadian-born, non-aboriginal persons","13,677.8","78.4","15,443.6","76.9"
"immigrants","3,329.9","19.1","4,019.4","20.0"
"born outside canada, non-immigrants","114.1","0.7","127.7","0.6"
