"cause of death","number","percent","rank"
"females","","",""
"total - all causes of death","445","100.0",".."
"accidents","115","25.8","1"
"intentional self-harm","60","13.5","2"
"malignant neoplasms","55","12.4","3"
"congenital malformations, deformations and chromosonal abnormalities","50","11.2","4"
"diseases of heart","15","3.4","5"
"assault","15","3.4","5"
"all other causes of death","135","30.3",".."
"males","","",""
"total - all causes of death","560","100.0",".."
"accidents","195","34.8","1"
"intentional self-harm","95","17.0","2"
"malignant neoplasms","75","13.4","3"
"congenital malformations, deformations and chromosonal abnormalities","30","5.4","4"
"assault","20","3.6","5"
"diseases of heart","15","2.7","6"
"all other causes of death","130","23.2",".."
