"club","season","division","league","league","fa cup","fa cup","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals"
"blackburn rovers","1972-73","third division","1","0","1","0","0","0","2","0"
"blackburn rovers","1973-74","third division","4","0","1","0","3","0","8","0"
"blackburn rovers","1974-75","third division","2","0","0","0","3","0","5","0"
"blackburn rovers","1975-76","second division","21","0","0","0","1","0","22","0"
"blackburn rovers","1976-77","second division","2","0","0","0","3","0","5","0"
"blackburn rovers","total","total","30","0","2","0","10","0","42","0"
"port vale","1978-79","fourth division","7","0","0","0","2","0","9","0"
"crewe alexandra","1978-79","fourth division","26","0","2","0","0","0","28","0"
"crewe alexandra","1979-80","fourth division","38","0","1","0","0","0","39","0"
"crewe alexandra","1980-81","fourth division","11","0","1","0","1","0","13","0"
"crewe alexandra","total","total","75","0","4","0","1","0","80","0"
"career total","career total","career total","112","0","6","0","13","0","131","0"
