"club","season","league","league","league","cup","cup","continental","continental","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"newell's old boys","2005-06","argentine primera division","7","0","0","0","0","0","-","-","7","0"
"newell's old boys","2006-07","argentine primera division","9","2","0","0","0","0","-","-","9","2"
"newell's old boys","2007-08","argentine primera division","12","0","0","0","0","0","-","-","12","0"
"newell's old boys","total","total","28","2","0","0","0","0","0","0","28","2"
"rubin kazan","2008","russian premier league","27","1","1","0","-","-","28","1","none","none"
"rubin kazan","2009","russian premier league","25","1","2","0","5","0","-","-","32","1"
"rubin kazan","2010","russian premier league","20","0","0","0","10","0","1","0","31","0"
"rubin kazan","2011-12","russian premier league","27","0","3","0","8","1","-","-","38","1"
"rubin kazan","2012-13","russian premier league","25","0","0","0","9","0","1","0","35","0"
"rubin kazan","2013-14","russian premier league","4","0","0","0","2","0","-","-","6","0"
"rubin kazan","total","total","128","2","6","0","34","1","2","0","170","3"
"zenit st. petersburg","2013-14","russian premier league","9","1","0","0","4","0","-","-","13","1"
"atletico madrid","2014-15","la liga","7","0","0","0","3","0","1","0","11","0"
"zenit st. petersburg","2015-16","russian premier league","0","0","0","0","0","0","1","0","1","0"
"zenit st. petersburg","total","total","9","1","0","0","4","0","1","0","14","1"
"genoa","2015-16","serie a","24","0","1","0","-","-","25","0","none","none"
"internazionale","2016-17","serie a","21","0","2","0","3","0","-","-","26","0"
"torino","2017-18","serie a","25","1","0","0","-","-","25","1","none","none"
"torino","2018-19","serie a","21","3","0","0","-","-","21","3","none","none"
"torino","total","total","46","4","0","0","0","0","0","0","46","4"
"career total","career total","career total","263","9","9","0","44","1","4","0","320","10"
