"club","season","division","league","league","fa cup","fa cup","efl cup","efl cup","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"wolverhampton wanderers","2005-06","championship","1","0","0","0","0","0","0","0","1","0"
"wolverhampton wanderers","2006-07","championship","8","0","0","0","0","0","0","0","8","0"
"wolverhampton wanderers","2007-08","championship","1","0","0","0","0","0","0","0","1","0"
"wolverhampton wanderers","2008-09","championship","0","0","0","0","1","0","0","0","1","0"
"wolverhampton wanderers","2009-10","premier league","0","0","0","0","0","0","0","0","0","0"
"wolverhampton wanderers","total","total","10","0","0","0","1","0","0","0","11","0"
"northampton town","2007-08","league one","33","3","3","0","2","0","1","0","39","3"
"oldham athletic","2008-09","league one","23","1","2","0","0","0","0","0","25","1"
"notts county","2009-10","league two","7","0","0","0","0","0","1","0","8","0"
"bristol rovers","2009-10","league one","17","0","0","0","0","0","0","0","17","0"
"sheffield wednesday","2010-11","league one","25","0","4","0","2","0","3","0","34","0"
"sheffield wednesday","2011-12","league one","3","0","1","0","1","0","0","0","5","0"
"sheffield wednesday","2012-13","championship","9","0","0","0","2","0","0","0","11","0"
"sheffield wednesday","total","total","37","0","5","0","5","0","3","0","50","0"
"port vale","2012-13","league two","16","1","0","0","0","0","0","0","16","1"
"port vale","2013-14","league one","20","0","0","0","1","0","1","0","22","0"
"port vale","total","total","36","1","0","0","1","0","1","0","38","1"
"chesterfield","2014-15","league one","33","0","3","0","1","0","3","0","40","0"
"chesterfield","2015-16","league one","19","1","1","0","1","0","1","0","22","1"
"chesterfield","2016-17","league one","14","0","0","0","0","0","0","0","14","0"
"chesterfield","total","total","66","1","4","0","2","0","4","0","76","1"
"notts county","2017-18","league two","27","4","2","0","0","0","4","0","33","4"
"notts county","2018-19","league two","0","0","0","0","0","0","0","0","0","0"
"notts county","total","total","27","4","2","0","0","0","4","0","33","4"
"career total","career total","career total","256","10","16","0","11","0","14","0","297","10"
