"year","single","peak chart positions","peak chart positions","peak chart positions","peak chart positions","peak chart positions","peak chart positions","peak chart positions","peak chart positions","peak chart positions","certifications","album"
"year","single","bel","fra","ger","ire","ned","sui","swe","uk","u.s. dance","certifications","album"
"1996","foxxy","-","-","-","-","-","-","-","-","-","none","1999"
"1999","25","17","-","14","35","-","52","7","8","none","none","1999"
"feeling for you","52","72","76","-","57","-","57","16","6","none","none","1999"
"la mouche","-","-","-","-","-","-","-","53","27","none","none","1999"
"2002","i'm a woman","55","-","-","-","-","63","-","-","7","none","au reve"
"2002","the sound of violence","58","-","-","-","29","79","-","49","1","none","au reve"
"2003","thrilla","-","-","-","-","-","-","-","-","-","none","au reve"
"2006","toop toop","52","39","-","-","-","76","-","-","-","none","15 again"
"2007","rock number one","-","-","-","-","-","-","-","-","-","none","15 again"
"2009","youth, speed, trouble, cigarettes","-","-","-","-","-","-","-","-","-","none","non-album single"
"2010",""i love you so" (i <3 u so)"","15","47","-","-","-","-","-","52","-","none","the rawkers ep"
"2016","action","-","-","-","-","-","-","-","-","-","none","ibifornia"
"2016","the missing","-","121","-","-","-","-","-","-","-","none","ibifornia"
""-" denotes releases that did not chart",""-" denotes releases that did not chart",""-" denotes releases that did not chart",""-" denotes releases that did not chart",""-" denotes releases that did not chart",""-" denotes releases that did not chart",""-" denotes releases that did not chart",""-" denotes releases that did not chart",""-" denotes releases that did not chart",""-" denotes releases that did not chart",""-" denotes releases that did not chart",""-" denotes releases that did not chart",""-" denotes releases that did not chart"
