"team","from","to","regular season record","regular season record","regular season record","regular season record","post-season record","post-season record","post-season record","post-season record"
"team","from","to","g","w","l","win %","g","w","l","win %"
"new york yankees","1986","1987","324","179","145",".552","-","-","-","-"
"new york yankees","1988","1988","93","45","48",".484","-","-","-","-"
"cincinnati reds","1990","1992","486","255","231",".525","10","8","2",".800"
"seattle mariners","1993","2002","1551","840","711",".542","34","15","19",".441"
"tampa bay devil rays","2003","2005","485","200","285",".412","-","-","-","-"
"chicago cubs","2007","2010","609","316","293",".519","6","0","6",".000"
"total","total","total","3548","1835","1713",".517","50","23","27",".460"
"ref.:","ref.:","ref.:","ref.:","ref.:","ref.:","ref.:","ref.:","ref.:","ref.:","ref.:"
