"","2000","2007","2011","2017","change 2000 to 2017"
"","percent","percent","percent","percent","percentage points"
"men","","","","",""
"newfoundland-and-labrador","66.4","70.0","72.4","67.5","1.0"
"prince-edward-island","77.6","79.2","77.2","79.3","1.7"
"nova scotia","78.3","79.5","79.1","77.6","-0.7"
"new brunswick","76.4","78.5","78.5","78.5","2.1"
"quebec","81.4","82.1","82.0","84.5","3.1"
"ontario","87.2","84.5","82.8","82.9","-4.3"
"manitoba","88.6","89.3","87.9","86.2","-2.5"
"saskatchewan","87.7","90.3","89.2","85.4","-2.3"
"alberta","89.7","92.0","88.6","86.0","-3.7"
"british columbia","83.0","87.0","82.6","86.1","3.1"
"all provinces","84.5","84.9","83.3","83.8","-0.7"
"women","","","","",""
"newfoundland-and-labrador","56.2","65.0","68.2","68.9","12.7"
"prince-edward-island","72.9","76.6","76.9","74.4","1.6"
"nova scotia","66.9","73.9","74.8","75.8","8.9"
"new brunswick","66.6","74.5","73.9","76.0","9.4"
"quebec","67.9","76.4","76.7","79.8","11.9"
"ontario","73.4","76.4","73.7","73.0","-0.4"
"manitoba","77.1","78.2","76.8","75.4","-1.6"
"saskatchewan","77.0","80.1","77.4","75.7","-1.2"
"alberta","76.0","78.1","75.7","73.2","-2.8"
"british columbia","70.8","74.8","73.2","76.3","5.5"
"all provinces","71.5","76.2","74.7","75.2","3.8"
