"none","rushing","rushing","rushing","rushing","rushing","rushing","receiving","receiving","receiving","receiving","receiving"
"year","team","att","yds","avg","lng","td","no","yds","avg","lng","td"
"1983","sf","176","725","4.1","71","8","48","427","8.9","23","4"
"1984","sf","155","649","4.2","28","4","71","675","9.5","64","3"
"1985","sf","214","1,050","4.9","62","9","92","1,016","11.0","73","6"
"1986","sf","204","830","4.1","25","7","81","624","7.7","48","0"
"1987","sf","215","815","3.8","25","3","66","492","7.5","35","1"
"1988","sf","310","1,502","4.8","46","9","76","534","7.0","22","1"
"1989","sf","271","1,054","3.9","27","6","49","473","9.7","44","1"
"1990","sf","141","439","3.1","26","1","25","201","8.0","31","0"
"1991","rai","162","590","3.6","15","1","17","136","8.0","20","0"
"1992","min","105","416","4.0","21","4","22","164","7.5","22","0"
"1993","min","38","119","3.1","11","1","19","169","8.9","31","1"
"totals","-","1,991","8,189","4.1","71","56","566","4,911","8.7","73","17"
