"recommendation","good psychosocial health","good psychosocial health","good psychosocial health","good psychosocial health","good psychosocial health","good psychosocial health","good psychosocial health","good psychosocial health","not stressed","not stressed","not stressed","not stressed","good mental health","good mental health","good mental health","good mental health"
"recommendation","children","children","children","children","youth","youth","youth","youth","youth","youth","youth","youth","youth","youth","youth","youth"
"recommendation","or","lcl","ucl","p-value","or","lcl","ucl","p-value","or","lcl","ucl","p-value","or","lcl","ucl","p-value"
"number of reccomendations met","","","","","","","","","","","","","","","",""
"none","1.00","..","..","..","1.00","..","..","..","1.00","..","..","..","1.00","..","..",".."
"one","1.68","0.85","3.31","0.13","1.00","0.48","2.08","1.00","1.88","0.97","3.64","0.06","1.29","0.78","2.13","0.32"
"two or more","2.01","0.96","4.21","0.07","3.10","1.17","8.19","0.02","1.83","0.76","4.43","0.18","1.71","0.94","3.12","0.08"
"sleep reccomendation met","1.65","1.00","2.73","0.05","1.88","0.98","3.62","0.06","1.96","1.16","3.29","0.01","1.67","1.18","2.39","<0.05"
"physical activity reccomendation met","1.05","0.69","1.59","0.83","0.84","0.42","1.68","0.62","1.44","0.61","3.37","0.40","0.85","0.51","1.42","0.53"
"screen time reccomendation met","1.18","0.73","1.92","0.50","2.64","1.21","5.73","0.01","0.71","0.37","1.37","0.31","1.02","0.63","1.65","0.93"
"physical activity and screen time","1.16","0.72","1.87","0.54","f","f","f","f","f","f","f","f","f","f","f","f"
"sleep and physical activity","1.19","0.76","1.88","0.45","3.04","1.33","6.98","0.01","f","f","f","f","1.05","0.55","2.00","0.88"
"sleep and screen time","1.12","0.66","1.92","0.67","f","f","f","f","f","f","f","f","1.30","0.70","2.39","0.40"
