"club","season","league","league","league","fa cup","fa cup","league cup","league cup","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"hull city","2014-15","premier league","0","0","-","-","0","0","-","-","0","0"
"hull city","2015-16","championship","0","0","0","0","1","0","-","-","1","0"
"hull city","total","total","0","0","0","0","1","0","-","-","1","0"
"gainsborough trinity","2014-15","conference north","7","0","-","-","7","0","none","none","none","none"
"york city","2015-16","league two","7","0","-","-","7","0","none","none","none","none"
"york city","2016-17","national league","13","0","1","0","-","-","0","0","14","0"
"york city","total","total","20","0","1","0","-","-","0","0","21","0"
"north ferriby united","2016-17","national league","15","0","-","-","15","0","none","none","none","none"
"spennymoor town","2017-18","national league north","28","0","1","0","-","-","6","0","35","0"
"career total","career total","career total","70","0","2","0","1","0","6","0","79","0"
