"club","season","league","league","league","fa cup","fa cup","league cup","league cup","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"cambridge united","2000-01","second division","8","1","0","0","0","0","0","0","8","1"
"cambridge united","2001-02","second division","33","9","2","0","1","0","4","1","41","10"
"cambridge united","2002-03","third division","44","20","6","1","2","1","4","3","55","25"
"cambridge united","2003-04","third division","17","10","1","1","1","0","0","0","19","11"
"cambridge united","total","total","102","40","9","2","4","1","8","4","123","47"
"reading","2003-04","first division","17","5","0","0","0","0","0","0","17","5"
"reading","2004-05","championship","37","19","0","0","0","0","0","0","37","19"
"reading","2005-06","championship","34","18","2","0","3","4","0","0","40","22"
"reading","2006-07","premier league","13","2","4","2","0","0","0","0","18","4"
"reading","2007-08","premier league","34","10","0","0","2","0","0","0","36","10"
"reading","total","total","135","54","6","2","5","4","0","0","146","60"
"stoke city","2008-09","premier league","16","0","1","0","1","0","0","0","18","0"
"stoke city","2009-10","premier league","18","3","2","1","2","1","0","0","22","5"
"stoke city","total","total","34","3","3","1","3","1","0","0","40","5"
"reading","2008-09","championship","10","2","0","0","0","0","2","0","12","2"
"middlesbrough","2009-10","championship","6","3","0","0","0","0","0","0","6","3"
"portsmouth","2010-11","championship","35","8","1","0","1","0","0","0","37","8"
"portsmouth","2011-12","championship","33","4","1","0","1","0","0","0","35","4"
"portsmouth","total","total","68","12","2","0","2","0","0","0","72","12"
"sheffield united","2012-13","league one","33","11","2","1","0","0","2","0","37","12"
"oxford united","2013-14","league two","32","4","4","0","0","0","0","0","36","4"
"career total","career total","career total","420","129","26","6","14","6","12","4","472","145"
