"year","title","peak chart positions","peak chart positions","peak chart positions","peak chart positions","peak chart positions","peak chart positions","peak chart positions","peak chart positions","album"
"year","title","aus","ned","bel","aut","fra","uk","us","us dance","album"
"1989","say goodbye","6","-","-","-","-","-","-","-","spoken words / indecent obsession"
"1989","tell me something","17","-","-","-","-","91","31","39","spoken words / indecent obsession"
"1990","come back to me","40","-","-","-","-","-","-","-","spoken words / indecent obsession"
"1990","never gonna stop","72","-","-","-","-","-","-","-","spoken words / indecent obsession"
"1992","kiss me","27","22","-","11","-","-","-","-","indio"
"1992","indio","41","-","-","-","-","-","-","-","indio"
"1992","whispers in the dark","-","-","-","-","7","-","-","-","indio"
"1992","rebel with a cause","122","-","-","-","-","-","-","-","indio"
"1993","gentleman style","118","-","-","-","-","-","-","-","indio"
"1994","fixing a broken heart","-","-","21","-","-","-","-","-","relativity"
"1994","fall from grace","-","-","-","-","-","-","-","-","relativity"
"1995","lady rain","-","-","-","-","-","-","-","-","relativity"
"1995","one bad dream","-","-","-","-","-","-","-","-","relativity"
""-" denotes releases that did not chart or were not released",""-" denotes releases that did not chart or were not released",""-" denotes releases that did not chart or were not released",""-" denotes releases that did not chart or were not released",""-" denotes releases that did not chart or were not released",""-" denotes releases that did not chart or were not released",""-" denotes releases that did not chart or were not released",""-" denotes releases that did not chart or were not released",""-" denotes releases that did not chart or were not released",""-" denotes releases that did not chart or were not released",""-" denotes releases that did not chart or were not released"
