"detailed motivation","victims","sex","sex","relationship to accused","relationship to accused","injuries","injuries","injuries","age"
"detailed motivation","victims","male","female","stranger","acquaintance or family member","no injury or not applicable","minor physical injury","major physical injury","age"
"detailed motivation","number","percent","percent","percent","percent","percent","percent","percent","median"
"race/ethnicity","2,702","68","32","65","35","70","27","3","30"
"black","962","68","32","57","43","72","25","3","29"
"east or southeast asian","291","69","31","82","18","62","36","2","30"
"south asian","337","77","23","77","23","72","26","1","31"
"arab or west asian","480","68","32","63","37","71","28","1","33"
"indigenous","147","55","45","63","38","57","36","7","28"
"white","140","59","41","66","34","65","27","8","31"
"other or not specified","345","64","36","64","36","73","23","3","33"
"religion","799","58","42","71","29","87","10","3","37"
"jewish","284","64","36","62","38","90","10","1","39"
"muslim","398","55","45","81","19","86","10","4","35"
"catholic","26","73","27","58","42","73","19","8","42"
"other or not specified","91","52","48","54","46","87","11","2","40"
"sexual orientation","1,026","81","19","57","43","58","39","4","27"
"total","4,925","68","32","63","37","70","27","3","31"
