"club","season","league","league","league","cup","cup","continental","continental","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"fc torpedo moscow","2004","premier league","1","0","0","0","-","-","1","0","none","none"
"fc torpedo moscow","2005","premier league","18","1","3","1","-","-","21","2","none","none"
"fc torpedo moscow","2006","premier league","23","3","5","0","-","-","28","3","none","none"
"fc torpedo moscow","2007","first division","24","1","3","0","-","-","27","1","none","none"
"fc torpedo moscow","2008","first division","35","4","1","0","-","-","36","4","none","none"
"fc torpedo moscow","total","total","101","9","12","1","0","0","0","0","113","10"
"fc stavropolye-2009","2009","second division","12","0","0","0","-","-","12","0","none","none"
"fc rostov","2009","premier league","6","0","0","0","-","-","6","0","none","none"
"fc rostov","2010","premier league","5","0","0","0","-","-","5","0","none","none"
"fc rostov","total","total","11","0","0","0","0","0","0","0","11","0"
"fc salyut belgorod","2010","first division","10","1","0","0","-","-","10","1","none","none"
"fc ska-energia khabarovsk","2011-12","first division","44","13","1","0","-","-","45","13","none","none"
"fc ska-energia khabarovsk","2012-13","first division","29","8","1","1","-","-","2","0","32","9"
"fc ska-energia khabarovsk","total","total","73","21","2","1","0","0","2","0","77","22"
"fc mordovia saransk","2013-14","national league","26","4","2","0","-","-","28","4","none","none"
"fc mordovia saransk","2014-15","premier league","22","2","3","2","-","-","25","4","none","none"
"fc mordovia saransk","2015-16","premier league","27","10","0","0","-","-","27","10","none","none"
"fc mordovia saransk","total","total","75","16","5","2","0","0","0","0","80","18"
"fc dynamo moscow","2016-17","national league","30","6","2","1","-","-","32","7","none","none"
"fc dynamo moscow","2017-18","premier league","22","4","1","0","-","-","23","4","none","none"
"fc dynamo moscow","total","total","52","10","3","1","0","0","0","0","55","11"
"career total","career total","career total","334","57","22","5","0","0","2","0","358","62"
