"reasons for not reporting to the police","women","men","total"
"reasons for not reporting to the police","percent","percent","percent"
"crime was minor and not worth taking the time to report","71","75","71"
"incident was a private or personal matter and it was handled informally","68","62","67"
"no one was harmed","66","42","63"
"did not want the hassle of dealing with the police","47","33","45"
"police would not have considered incident important enough","43","43","43"
"lack of evidence","46","18","43"
"offender would not be convicted or adequately punished","41","27","40"
"no harm was intended","38","49","39"
"feared or did not want the hassle of dealing with the court process","34","37","34"
"did not want the offender in trouble with the law","29","36","30"
"did not want others to find out about the victimization","32","f","30"
"police would not have been efficient or effective","27","f","26"
"fear of revenge by the offender or others","24","f","22"
"police would not have been able to find or identify the offender","22","f","21"
"police would be biased","13","f","13"
"received unsatisfactory service from the police in the past","13","f","13"
"afraid reporting would bring shame and dishonour to the family","13","f","12"
