"agency","2015","2016","2017","2018"
"department of defense","","","",""
"rdt&e","61513.5","69306.1","70866.1","83725"
"total research","6691.5","7152","7178","7652.7"
"basic research","2133.4","2238.7","2110.1","2389.9"
"applied research","4558.1","4913.3","5068","5262.8"
"total experimental developmenta","na","37596.6","37694.6","45320.5"
"advanced technology","5173.3","5467.2","5707.6","6367.4"
"major systems","49648.8","32129.3","31987","38953.1"
"total operational system developmentb","na","24557.5","25993.5","30751.7"
"defense advanced research projects agency","","","",""
"rdt&e","2815.6","2933.4","2894.5","3018.2"
"total research","1485","1535.9","1509.4","1680"
"basic research","359.8","378.1","391.2","458.4"
"applied research","1125.2","1157.9","1118.1","1221.6"
"total experimental developmenta","na","1397.5","1385.2","1338.2"
"advanced technology","1187.8","1234.4","1194.1","1160.9"
"major systems","142.9","163.1","191.1","177.3"
"total operational system developmentb","na","0","0","0"
"department of the air force","","","",""
"rdt&e","22320.1","24953.5","26236.6","32225.1"
"total research","1609.2","1762.5","1713.3","1904.8"
"basic research","501.4","522.3","469.3","564.1"
"applied research","1107.8","1240.2","1244","1340.7"
"total experimental developmenta","na","5559.1","6386.2","9297.9"
"advanced technology","634.8","666.8","738.7","818.4"
"major systems","20076.2","4892.3","5647.4","8479.5"
"total operational system developmentb","na","17632","18137.1","21022.3"
"department of the army","","","",""
"rdt&e","6764.3","7490.5","8856","10653.2"
"total research","1390.5","1522.2","1683.6","1689.1"
"basic research","448.9","461.8","450.4","471.9"
"applied research","941.6","1060.4","1233.2","1217.2"
"total experimental developmenta","na","4850","5847.2","6892.2"
"advanced technology","1077.9","1012.1","1224.9","1400.2"
"major systems","4295.8","3837.9","4622.3","5491.9"
"total operational system developmentb","na","1118.3","1325.2","2071.9"
"department of the navy","","","",""
"rdt&e","15489.6","17947.7","17428.2","18008.4"
"total research","1465.1","1560.5","1539.8","1549.4"
"basic research","620.4","636.9","569.2","596.1"
"applied research","844.7","923.6","970.6","953.3"
"total experimental developmenta","na","15083.9","13696.2","13896.8"
"advanced technology","612.8","693.6","862.4","809.6"
"major systems","13411.7","14390.3","12833.8","13087.2"
"total operational system developmentb","na","1303.4","2192.2","2562.2"
"other defense agencies","","","",""
"rdt&e","14123.9","15980.9","15450.8","19820.1"
"total research","741.8","771","732.1","829.4"
"basic research","202.9","239.8","230","299.3"
"applied research","538.9","531.2","502.1","530.1"
"total experimental developmenta","na","10706.1","10379.8","13895.5"
"advanced technology","1660","1860.4","1687.4","2178.2"
"major systems","11722.1","8845.7","8692.4","11717.2"
"total operational system developmentb","na","4503.8","4339","5095.2"
