"","agricultural region 1","agricultural region 1","agricultural region 3","agricultural region 3","agricultural region 4","agricultural region 4","total new brunswick","total new brunswick"
"","number","percent","number","percent","number","percent","number","percent"
"farms classified by total farm area","","","","","","","",""
"farms under 130 acres","273","30.7","241","40.4","202","51.3","996","38.1"
"farms between 130 and 399 acres","297","33.4","201","33.7","99","25.1","855","32.7"
"farms between 400 and 1,119 acres","244","27.4","129","21.6","74","18.8","618","23.7"
"farms between 1,120 and 2,879 acres","63","7.1","24","4.0","15","3.8","122","4.7"
"farms 2,880 acres and over","12","1.3","2","0.3","4","1.0","20","0.8"
"land tenure","","","","","","","",""
"area owned","852","95.8","579","97.0","353","89.6","2,491","95.4"
"area leased from governments","28","3.1","17","2.8","64","16.2","119","4.6"
"area rented or leased from others","279","31.4","132","22.1","75","19.0","628","24.1"
"area crop-shared from others","13","1.5","8","1.3","4","1.0","32","1.2"
"land area used through other arrangements","119","13.4","78","13.1","39","9.9","352","13.5"
"total area of land used by others","119","13.4","31","5.2","16","4.1","229","8.8"
