"club","season","league","league","league","cup","cup","europe","europe","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals"
"eibar","2004-05","segunda division","35","4","0","0","-","-","35","4"
"celta vigo","2005-06","la liga","34","4","0","0","-","-","34","4"
"valencia","2006-07","la liga","36","4","2","1","11","3","49","8"
"valencia","2007-08","la liga","34","5","8","1","6","0","48","6"
"valencia","2008-09","la liga","19","4","3","0","3","1","25","5"
"valencia","2009-10","la liga","30","8","2","1","7","1","39","10"
"valencia","total","total","119","21","15","3","27","5","161","29"
"manchester city","2010-11","premier league","35","4","8","1","10","1","53","6"
"manchester city","2011-12","premier league","36","6","3","0","10","2","49","8"
"manchester city","2012-13","premier league","32","4","6","1","3","0","41","5"
"manchester city","2013-14","premier league","27","7","7","0","6","1","40","8"
"manchester city","2014-15","premier league","32","12","4","0","6","0","42","12"
"manchester city","2015-16","premier league","24","2","4","0","8","2","36","4"
"manchester city","2016-17","premier league","34","4","4","2","7","2","45","8"
"manchester city","2017-18","premier league","29","9","4","1","7","0","40","10"
"manchester city","2018-19","premier league","26","6","5","0","7","3","38","9"
"manchester city","total","total","277","54","45","5","64","11","387","70"
"career total","career total","career total","465","83","60","8","90","16","615","107"
