"","household income quintiles","household income quintiles","household income quintiles","household income quintiles"
"","total","bottom two quintiles","third quintile","top two quintiles"
"","percentage","percentage","percentage","percentage"
"total","48","40","47","56"
"donation amount","","","",""
"less than $100","25","21","25","31"
"$100 to $249","51","42","55","56"
"$250 to $499","65","59","67","69"
"$500 or more","78","72","77","83"
"type of donor","","","",""
"primary donors","86","81","84","89"
"other donors","44","36","44","51"
"sex","","","",""
"men","45","36","44","53"
"women","50","42","51","58"
"age group","","","",""
"15 to 34 years","32","23","33","36"
"35 to 54 years","51","34","45","64"
"55 years and older","58","51","63","68"
"region of residence","","","",""
"atlantic canada","45","37","49","53"
"quebec","34","28","30","45"
"ontario","53","43","53","60"
"prairies","58","52","59","63"
"alberta","51","43","55","54"
"british columbia","52","47","52","57"
