"selected characteristics of targeted members","total sexualized or discriminatory behaviours","total sexualized or discriminatory behaviours","sexualized behaviours","sexualized behaviours","sexualized behaviours","sexualized behaviours","discriminatory behaviours","discriminatory behaviours","discriminatory behaviours"
"selected characteristics of targeted members","total sexualized or discriminatory behaviours","total sexualized or discriminatory behaviours","total sexualized behaviours","inappropriate verbal or non-verbal communication","sexually explicit materials","physical contact or suggested sexual relations","total discriminatory behaviours","discrimination on the basis of sex","discrimination on the basis of sexual orientation or gender identity"
"selected characteristics of targeted members","number","percent","percent","percent","percent","percent","percent","percent","percent"
"class of service","","","","","","","","",""
"class a only","800","12","11","9.5","1.6","3.4","3.8","3.7","f"
"class b/c only","1,130","17","15","14","2.3","5.6","7.2","6.8","1.0"
"mixed","2,590","19","18","15","2.8","7.7","6.6","6.3","1.2"
"environmental command","","","","","","","","",""
"canadian army","3,180","16","15","14","2.6","5.7","5.5","5.2","0.8"
"royal canadian navy","690","21","20","17","2.9","9.7","9.0","8.9","1.4"
"royal canadian air force","190","9.7","8.5","7.1","f","3.1","2.7","2.5","f"
"military personnel command","370","20","19","17","f","7.0","9.7","9.4","f"
"other","110","15","13","11","f","5.6","4.1","3.3","f"
"gender","","","","","","","","",""
"women","1,500","34","32","26","5.1","19","18","18","2.3"
"men","2,990","13","12","11","1.8","3.5","3.6","3.3","0.7"
"gender diverse","f","f","f","f","f","f","f","f","f"
"indigenous identity","","","","","","","","",""
"indigenous (first nations, metis, inuit) person","240","23","20","18","4.0","11","9.8","8.4","f"
"non-indigenous person","4,310","17","15","13","2.3","5.9","5.8","5.6","0.9"
"persons with disabilities","","","","","","","","",""
"persons with disabilities","180","24","18","17","f","6.8","14","14","f"
"persons without disabilities","4,370","17","15","13","2.3","6.0","5.7","5.5","0.9"
"visible minority","","","","","","","","",""
"visible minority","610","15","15","12","2.4","6.9","4.6","4.6","f"
"non-visible minority","3,930","17","16","14","2.4","5.9","6.2","5.9","0.9"
"rank","","","","","","","","",""
"junior non-commissioned member","3,460","19","18","16","3.0","7.2","6.9","6.6","1.1"
"senior non-commissioned member","510","12","11","9.5","1.4","2.8","3.8","3.5","0.6"
"junior officer","460","14","13","11","1.2","5.4","5.1","4.8","f"
"senior officer","120","8.5","7.5","6.3","f","2.5","2.9","2.8","f"
"age group","","","","","","","","",""
"24 years and younger","1,880","20","19","16","2.8","8.3","7.4","7.1","1.2"
"25 to 29 years","1,110","21","20","19","3.9","7.4","7.4","7.1","1.1"
"30 to 34 years","630","18","17","15","2.3","5.7","8.0","7.7","1.1"
"35 to 39 years","370","16","15","12","2.7","5.2","4.3","4.1","f"
"40 to 44 years","180","11","10","8.7","f","3.3","3.0","2.8","f"
"45 to 49 years","190","10","9.4","8.3","f","3.1","3.4","3.2","f"
"50 years and older","190","6.0","5.2","4.3","f","1.5","1.8","1.7","f"
"total","4,560","17","16","14","2.4","6.0","6.0","5.7","0.9"
