"","immigrant class","immigrant class","immigrant class","immigrant class","immigrant class"
"","family","economic","business","dependants","refugees"
"","percent distribution","percent distribution","percent distribution","percent distribution","percent distribution"
"industry","","","","",""
"construction of buildings","3.5","2.6","1.8","2.0","4.9"
"specialty trade contractors","6.9","5.0","2.6","3.7","10.1"
"manufacturing","1.7","1.5","1.5","1.3","1.8"
"wholesale trade","1.0","1.3","1.4","1.1","1.0"
"retail trade","5.3","6.6","7.6","6.7","5.5"
"truck transportation","5.4","2.5","1.0","1.5","6.0"
"transit and ground passenger transportation","5.9","5.1","0.9","1.1","9.4"
"lessors of real estate","13.9","16.8","37.9","22.6","11.5"
"offices of real estate agents and brokers","1.6","2.8","1.5","2.3","1.4"
"accounting, tax preparation, bookkeeping and payroll services","1.9","2.8","1.2","2.5","1.3"
"architectural, engineering and related services","0.4","1.6","0.5","0.7","0.5"
"computer systems design and related services","0.7","2.5","0.3","1.4","0.6"
"management, scientific and technical consulting services","3.3","7.4","5.7","4.9","2.5"
"services to buildings and dwellings","13.0","10.5","8.2","11.9","14.8"
"offices of physicians","0.9","2.1","0.3","1.8","0.7"
"offices of dentists","0.4","0.4","0.2","0.9","0.4"
"child day-care services","10.7","2.9","1.3","6.8","5.3"
"food services and drinking places","1.0","0.9","1.0","0.9","1.1"
"all other industries","22.4","24.6","25.0","26.1","21.0"
"total","100.0","100.0","100.0","100.0","100.0"
"","number","number","number","number","number"
"total","119,094","81,116","16,070","88,902","66,056"
"","percent","percent","percent","percent","percent"
"knowledge-based industries","5.8","13.8","7.5","9.0","4.7"
