"","observed average annual earnings","observed average annual earnings","adjusted average annual earnings","adjusted average annual earnings"
"","men","women","men","women"
"","2010 dollars","2010 dollars","2010 dollars","2010 dollars"
"second generation groups","","","",""
"south asian","68,300","50,800","62,900","44,800"
"black","46,500","40,900","51,900","40,400"
"chinese","68,100","57,300","60,300","49,100"
"filipino","54,600","48,100","52,100","44,000"
"southeast asian","49,600","42,200","58,900","45,800"
"west asian/arab","59,700","44,000","59,700","42,400"
"latin american","44,500","37,300","55,400","42,400"
"korean","71,600","55,700","60,500","45,800"
"japanese","66,000","49,300","56,500","42,300"
"white","68,400","48,200","62,700","43,900"
"all second generation","65,700","48,200","61,300","44,000"
"third-plus generation whites","62,700","43,500","64,000","44,700"
