"club","season","division","league","league","national cup","national cup","league cup","league cup","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"watford","2005-06","championship","1","0","0","0","0","0","0","0","1","0"
"watford","2006-07","premier league","1","0","0","0","0","0","0","0","1","0"
"watford","2007-08","championship","0","0","0","0","0","0","0","0","0","0"
"watford","2008-09","championship","3","0","0","0","1","0","0","0","4","0"
"watford","total","total","5","0","0","0","1","0","0","0","6","0"
"hereford united","2007-08","league two","43","13","6","2","2","1","1","0","52","16"
"southend united","2008-09","league one","21","7","0","0","0","0","0","0","21","7"
"huddersfield town","2009-10","league one","37","13","3","0","2","3","1","0","43","16"
"huddersfield town","2010-11","league one","1","0","0","0","1","0","0","0","2","0"
"huddersfield town","total","total","38","13","3","0","3","3","1","0","45","16"
"millwall","2010-11","championship","11","3","0","0","0","0","0","0","11","3"
"derby county","2010-11","championship","13","2","0","0","0","0","0","0","13","2"
"derby county","2011-12","championship","39","10","1","1","1","1","0","0","41","12"
"derby county","2012-13","championship","28","8","0","0","1","1","0","0","29","9"
"derby county","total","total","80","20","1","1","2","2","0","0","83","23"
"huddersfield town","2012-13","championship","6","0","0","0","0","0","0","0","6","0"
"doncaster rovers","2013-14","championship","31","5","0","0","1","0","0","0","32","5"
"doncaster rovers","2014-15","league one","32","7","4","0","2","0","2","0","40","7"
"doncaster rovers","total","total","63","12","4","0","3","0","2","0","72","12"
"scunthorpe united","2014-15","league one","8","3","0","0","0","0","0","0","8","3"
"motherwell","2015-16","scottish premiership","10","0","0","0","1","0","0","0","11","0"
"port vale","2015-16","league one","14","2","0","0","0","0","0","0","14","2"
"lincoln city","2016-17","national league","14","1","7","7","0","0","1","0","22","8"
"southend united","2016-17","league one","18","2","0","0","0","0","0","0","18","2"
"southend united","2017-18","league one","25","5","0","0","1","0","4","2","30","7"
"southend united","2018-19","league one","24","4","3","0","1","0","3","0","31","4"
"southend united","total","total","67","11","3","0","2","0","7","2","79","13"
"swindon town","2018-19","league two","2","1","0","0","0","0","0","0","2","1"
"career total","career total","career total","382","86","24","9","14","6","12","2","430","104"
