"club","season","division","league","league","fa cup","fa cup","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals"
"port vale","1976-77","third division","3","0","0","0","0","0","3","0"
"bolton wanderers","1973-74","second division","0","0","0","0","0","0","0","0"
"bolton wanderers","1974-75","second division","0","0","0","0","0","0","0","0"
"bolton wanderers","1975-76","second division","0","0","0","0","0","0","0","0"
"bolton wanderers","1976-77","second division","0","0","0","0","0","0","0","0"
"bolton wanderers","1977-78","second division","1","0","0","0","2","0","3","0"
"bolton wanderers","total","total","1","0","0","0","2","0","3","0"
"york city","1977-78","fourth division","29","0","1","0","0","0","30","0"
"york city","1978-79","fourth division","46","2","5","1","2","0","53","3"
"york city","1979-80","fourth division","42","3","3","0","2","1","47","4"
"york city","1980-81","fourth division","31","1","2","0","0","0","33","1"
"york city","total","total","148","6","11","1","4","1","163","8"
"career total","career total","career total","152","6","11","1","6","1","169","8"
