"state","all r&d expenditures","intramural performersa","intramural performersa","extramural performersb","extramural performersb","state","all r&d expenditures","intramural performersa","intramural performersa","extramural performersb","extramural performersb"
"state","all r&d expenditures","amount","percent","amount","percent","state","all r&d expenditures","amount","percent","amount","percent"
"united statesc","2205147","581667","26.4","1623479","73.6","missouri","9806","1151","11.7","8655","88.3"
"alabama","24487","6168","25.2","18319","74.8","montana","10363","2273","21.9","8089","78.1"
"alaska","11258","9465","84.1","1794","15.9","nebraska","5475","535","9.8","4941","90.2"
"arizona","14942","8268","55.3","6674","44.7","nevada","3107","4","0.1","3103","99.9"
"arkansas","16643","661","4","15982","96","new hampshire","1607","83","5.2","1524","94.8"
"california","500072","55223","11","444848","89","new jersey","33756","1864","5.5","31892","94.5"
"colorado","16321","8468","51.9","7854","48.1","new mexico","52303","2540","4.9","49763","95.1"
"connecticut","55817","21886","39.2","33931","60.8","new york","365552","241921","66.2","123631","33.8"
"delaware","2200","1710","77.7","490","22.3","north carolina","34002","14429","42.4","19573","57.6"
"district of columbia","3216","1541","47.9","1675","52.1","north dakota","9612","1190","12.4","8422","87.6"
"florida","191599","45016","23.5","146583","76.5","ohio","94299","864","0.9","93435","99.1"
"georgia","10053","1709","17","8344","83","oklahoma","29953","351","1.2","29602","98.8"
"hawaii","11521","1660","14.4","9861","85.6","oregon","31990","18022","56.3","13968","43.7"
"idaho","12936","6469","50","6467","50","pennsylvania","75024","7387","9.8","67637","90.2"
"illinois","30817","1551","5","29267","95","rhode island","2595","281","10.8","2314","89.2"
"indiana","9987","658","6.6","9329","93.4","south carolina","27419","22352","81.5","5068","18.5"
"iowa","11278","3696","32.8","7581","67.2","south dakota","4212","240","5.7","3972","94.3"
"kansas","5469","1334","24.4","4135","75.6","tennessee","3829","532","13.9","3297","86.1"
"kentucky","17256","2734","15.8","14522","84.2","texas","185094","2745","1.5","182349","98.5"
"louisiana","32175","9325","29","22850","71","utah","38168","18192","47.7","19976","52.3"
"maine","12610","2912","23.1","9698","76.9","vermont","2199","556","25.3","1643","74.7"
"maryland","24853","846","3.4","24007","96.6","virginia","43616","14191","32.5","29425","67.5"
"massachusetts","22665","11254","49.7","11410","50.3","washington","36919","10470","28.4","26448","71.6"
"michigan","12676","702","5.5","11973","94.5","west virginia","11482","4728","41.2","6754","58.8"
"minnesota","21456","2828","13.2","18628","86.8","wisconsin","14518","6548","45.1","7970","54.9"
"mississippi","781","253","32.4","528","67.6","wyoming","5161","1883","36.5","3277","63.5"
"","","","","","","puerto ricod","5674","4454","78.5","1219","21.5"
