"","given distance to a liquor store","given distance to a liquor store","given distance to a liquor store","given distance to a liquor store","given distance to a liquor store"
"","1 km","2 km","5 km","10 km","more than 10 km"
"","percent","percent","percent","percent","percent"
"canada","32","61","82","90","100"
"newfoundland and labrador","16","30","51","62","100"
"prince edward island","14","27","55","75","100"
"nova scotia","23","41","64","80","100"
"new brunswick","15","31","56","73","100"
"quebec","29","57","80","89","100"
"ontario","26","58","86","95","100"
"manitoba","27","59","72","77","100"
"saskatchewan","23","49","68","72","100"
"alberta","64","82","87","91","100"
"british columbia","41","72","90","95","100"
"yukon","12","23","66","73","100"
"northwest territories","22","35","56","70","100"
"nunavut","9","9","22","22","100"
