"","male","male","male","female","female","female"
"","canadian-born","imdb immigrant","imdb immigrant","canadian-born","imdb immigrant","imdb immigrant"
"","canadian-born","all","recent immigrant","canadian-born","all","recent immigrant"
"population size","7,005,000","1,350,000","177,000","6,563,000","1,324,000","180,000"
"sample size","94,845","7,550","985","105,810","8,430","1,115"
"percent of total population","84","16","2","83","17","2"
"mean age","43","42","36","44","42","36"
"immigrant-related variables","column percentage","column percentage","column percentage","column percentage","column percentage","column percentage"
"immigrant landing duration","","","","","",""
"pre-landing","..","2","..","..","2",".."
"recent","..","13","100","..","14","100"
"medium-term","..","25","..","..","23",".."
"long-term","..","60","..","..","61",".."
"immigration category","","","","","",""
"economic-class principal applicant","..","35","45","..","20","31"
"economic-class spouse / dependent","..","18","18","..","30","29"
"family class","..","27","24","..","33","27"
"refugee","..","15","8","..","12","7"
"other immigrant","..","5","4","..","4","6"
"socio-economic characteristics","","","","","",""
"married or common-law","67","76","79","67","74","81"
"university degree and above - at household level","30","54","60","32","54","60"
"employment status","","","","","",""
"employed","83","88","86","75","70","61"
"unemployed","4","5","6","3","6","13"
"not in labour force","12","7","8","22","23","27"
"low 50% household income","33","59","72","40","62","70"
"homeowner","76","67","33","76","65","37"
"ethnicity","","","","","",""
"white","93","28","28","93","26","21"
"black","0","9","7","0","9","8"
"asian","2","52","51","1","55","60"
"other","5","11","14","5","10","12"
"health risk factors","","","","","",""
"smoker","32","24","23","27","8","9"
"physically inactive","44","56","58","46","61","61"
"dietary risk","72","70","68","56","56","62"
