"year","song","peak chart positions","peak chart positions","peak chart positions","peak chart positions","peak chart positions","album"
"year","song","no","se","uk","de","at","album"
"1993","nigger","4","22","-","-","-","deaf dumb blind"
"1993","the truth","-","-","-","-","-","deaf dumb blind"
"1993","rosegrove","-","-","-","-","-","deaf dumb blind"
"1993",""warfair","-","12","54","-","-","deaf dumb blind"
"1995","pin me down","15","28","87","-","-","use your brain"
"1995","tomorrow","-","-","-","-","-","use your brain"
"1995","do what i say","-","-","-","-","-","use your brain"
"1997","biggest & the best","-","-","94","-","-","clawfinger"
"1997","two sides","-","-","79","-","-","clawfinger"
"1998","don't wake me up","-","-","-","-","-","clawfinger"
"2001","out to get me","-","-","-","68","74","a whole lot of nothing"
"2001","nothing going on","-","-","-","-","-","a whole lot of nothing"
"2003","recipe for hate","-","-","-","-","-","zeros and heroes"
"2003","bitch","-","-","-","-","-","zeros and heroes"
"2005","dirty lies","-","-","-","-","-","hate yourself with style"
"2006","without a case","-","-","-","-","-","hate yourself with style"
"2007","the price we pay","-","-","-","-","-","life will kill you"
"2007","little baby","-","-","-","-","-","life will kill you"
"2017","save our souls","-","-","-","-","-","single only"
