"athlete","event","heat","heat","semifinal","semifinal","final","final"
"athlete","event","result","rank","result","rank","result","rank"
"jacob araptany","3000 m steeplechase","8:35.85","7","n/a","n/a","did not advance","did not advance"
"thomas ayeko","10000 m","n/a","n/a","n/a","n/a","27:58.96","16"
"benjamin kiplagat","3000 m steeplechase","8:18.44","6 q","n/a","n/a","dsq","dsq"
"abraham kiplimo","5000 m","13:31.57","15","n/a","n/a","did not advance","did not advance"
"stephen kiprotich","marathon","n/a","n/a","n/a","n/a","2:08:01","none"
"moses kipsiro","5000 m","13:17.68","7 q","n/a","n/a","13:52.25","15"
"moses kipsiro","10000 m","n/a","n/a","n/a","n/a","27:39.22","10"
"geoffrey kusuro","5000 m","13:59.74","18","n/a","n/a","did not advance","did not advance"
"julius mutekanga","800 m","1:48.41","5","did not advance","did not advance","did not advance","did not advance"
