"","distribution of positions vacant for less than 90 days","distribution of positions vacant for 90 days or more","percentage of positions vacant for 90 days or more"
"","percent","percent","percent"
"level of education required","100.0","20.9","9.3"
"no minimum level of education sought","30.1","22.5","6.3"
"high school diploma or equivalent","30.0","26.1","8.5"
"apprenticeship or trades certificate or diploma","7.4","9.6","10.9"
"college, cegep or other non-university certificate or diploma","15.4","17.1","11.2"
"university certificate or diploma below bachelor's degree","4.0","3.8","10.2"
"bachelor's degree","10.9","16.6","15.2"
"university certificate or diploma above bachelor's degree","2.2","4.3","18.6"
"professional certification requested","","",""
"yes","20.7","31.3","13.3"
"no","79.3","68.7","8.2"
"work experience required","","",""
"less than 1 year","46.9","41.7","7.9"
"1 year to less than 3 years","31.9","28.5","8.6"
"3 years to less than 5 years","9.8","12.2","12.2"
"5 years to less than 8 years","9.1","13.7","14.7"
"8 years or more","2.2","3.9","17.5"
