"province and analytical institutional type","type of cancer","type of cancer","type of cancer","type of cancer"
"province and analytical institutional type","prostate","female breast","colorectal","lung"
"newfoundland and labrador","","","",""
"n","1,556","1,289","1,867","1,306"
"%","91.6","98.1","98.7","94.4"
"% ac","63.8","83.5","95.2","85.2"
"prince edward island","","","",""
"n","536","370","417","465"
"%","83.4","96.8","98.6","96.3"
"% ac","64.4","93.2","94.2","86.2"
"nova scotia","","","",""
"n","3,270","2,903","3,231","3,457"
"%","87.2","96.2","97.4","94.0"
"% ac","64.9","79.2","92.6","84.5"
"new brunswick","","","",""
"n","2,952","2,148","2,106","2,802"
"%","79.5","97.2","97.0","94.9"
"% ac","58.7","77.6","95.8","91.4"
"ontario","","","",""
"n","36,600","31,288","29,684","30,052"
"%","62.6","56.9","93.5","87.4"
"% ac","62.6","56.8","93.5","87.3"
"manitoba","","","",""
"n","2,561","3,124","3,139","3,289"
"%","77.2","95.6","97.8","94.1"
"% ac","64.3","71.6","92.9","85.4"
"saskatchewan","","","",""
"n","3,231","2,667","2,729","2,803"
"%","86.9","97.5","98.0","94.5"
"% ac","60.9","91.8","94.4","89.9"
"alberta","","","",""
"n","8,282","7,646","6,635","7,052"
"%","65.7","86.4","94.4","84.8"
"% ac","65.4","86.3","94.2","83.8"
"british columbia","","","",""
"n","12,328","11,131","10,260","11,037"
"%","80.9","95.6","96.9","92.8"
"% ac","58.1","76.2","92.9","81.8"
