"team","from","to","record","record","record","record","record","record","record","record","record"
"team","from","to","m","w","d","l","gf","ga","gd","win %","ref"
"vfb stuttgart","14 august 1996","21 may 1998","89","46","20","23","172","107","+65","51.69","none"
"fenerbahce","1 july 1998","30 may 1999","38","24","6","8","88","34","+54","63.16","none"
"karlsruher sc","25 october 1999","19 april 2000","18","1","7","10","14","28","-14","5.56","none"
"adanaspor","20 december 2000","2 march 2001","6","0","2","4","9","14","-5","0.00","none"
"wacker innsbruck","10 october 2001","18 june 2002","27","13","5","9","33","24","+9","48.15","none"
"austria wien","1 july 2003","24 march 2004","32","16","8","8","45","24","+21","50.00","none"
"germany","12 july 2006","present","173","111","33","29","405","166","+239","64.16","none"
"total","total","total","382","210","81","91","764","396","+368","54.97","-"
