"","first quarter of 2017","first quarter of 2018"
"","percent","percent"
"student, aged 15 to 24","41.1","31.6"
"not a student, aged 15 to 24","17.1","17.2"
"unattached individual, lone parent or spouse/partner in a single-earner couple","2.3","2.6"
"spouse/partner in a dual-earner couple","1.5","1.2"
"son/daughter living with their parents","10.9","11.0"
"other","2.4","2.3"
"student, aged 25 to 34","2.2","2.4"
"not a student, aged 25 to 34","10.5","13.9"
"unattached individual, lone parent or spouse/partner in a single-earner couple","2.9","4.0"
"spouse/partner in a dual-earner couple","3.7","4.5"
"son/daughter living with their parents","2.3","2.8"
"other","1.6","2.6"
"aged 35 to 54","17.3","21.8"
"unattached individual, lone parent or spouse/partner in a single-earner couple","6.1","6.3"
"spouse/partner in a dual-earner couple","8.8","11.8"
"other","2.4","3.8"
"aged 55 to 64","7.9","9.6"
"unattached individual, lone parent or spouse/partner in a single-earner couple","3.3","3.9"
"spouse/partner in a dual-earner couple","3.1","3.8"
"other","1.5","1.9"
"aged 65 and over","3.8","3.6"
"total","100.0","100.0"
"number of minimum wage workers","953,200","1,565,400"
"percentage of employees who are minimum wage workers","6.2","10.1"
