"region","females","females","males","males"
"region","number","as a percentage of the total female population in the region","number","as a percentage of the total male population in the region"
"canada","3,418,690","18.7","3,599,989","20.0"
"newfoundland and labrador","44,564","16.6","46,523","17.8"
"prince edward island","13,936","18.3","14,410","19.9"
"nova scotia","79,361","16.4","84,297","18.1"
"new brunswick","65,358","17.1","69,052","18.5"
"quebec","750,828","17.9","787,341","19.0"
"ontario","1,312,525","18.5","1,382,649","20.1"
"manitoba","145,250","21.9","152,245","23.2"
"saskatchewan","128,303","22.5","134,818","23.2"
"alberta","452,839","21.6","476,466","22.1"
"british columbia","410,009","17.1","435,854","18.5"
"yukon","3,692","20.0","3,937","20.7"
"northwest territories","5,499","25.2","5,682","25.1"
"nunavut","6,526","36.4","6,715","35.0"
