"england","first innings","first innings","second innings","second innings"
"batsman","method of dismissal","runs","method of dismissal","runs"
"l. hutton","b lindwall","81","c bradman b johnson","57"
"c. washbrook","c lindwall b johnston","143","c harvey b johnston","65"
"w. j. edrich","c morris b johnson","111","lbw b lindwall","54"
"a. v. bedser","c & b johnson","79","[9] c hassett b miller","17"
"d. c. s. compton","c saggers b lindwall","23","[4] c miller b johnston","66"
"j. f. crapp","b toshack","5","[5] b lindwall","18"
"* n. w. d. yardley","b miller","25","[6] c harvey b johnston","7"
"k. cranston","b loxton","10","[7] c saggers b johnston","0"
"+ t. g. evans","c hassett b loxton","3","[8] not out","47"
"j. c. laker","c saggers b loxton","4","not out","15"
"r. pollard","not out","0","none","none"
"extras","none","12","none","19"
"total","(192.1 overs)","496","(107 overs)","365/8d"
