"rank","province","2011 census","2011 census","2015 mid-year estimate","2015 mid-year estimate","2018 mid-year estimate","2018 mid-year estimate"
"rank","province","population","percentage","population","percentage","population","percentage"
"1","gauteng","12,272,263","23.7","13,200,300","24.0","14,717,000","25.5"
"2","kwazulu-natal","10,267,300","19.8","10,919,100","19.9","11,384,700","19.7"
"3","western cape","5,822,734","11.2","6,200,100","11.3","6,621,100","11.5"
"4","eastern cape","6,562,053","12.7","6,916,200","12.6","6,522,700","11.3"
"5","limpopo","5,404,868","10.4","5,726,800","10.4","5,797,300","10.0"
"6","mpumalanga","4,039,939","7.8","4,283,900","7.8","4,523,900","7.8"
"7","north west","3,509,953","6.8","3,707,100","6.7","3,979,000","6.9"
"8","free state","2,745,590","5.3","2,817,900","5.1","2,954,300","5.1"
"9","northern cape","1,145,861","2.2","1,185,600","2.2","1,225,600","2.1"
"south africa","south africa","51,770,561","100.0","54,956,900","100.0","57,725,600","100.0"
