"year","team","g","passing","passing","passing","passing","passing","passing","passing","rushing","rushing"
"year","team","g","cmp","att","pct","yds","td","int","rate","yds","td"
"1950","bal","12","161","315","51.1","1,884","8","19","52.9","77","2"
"1951","sf","12","63","114","55.3","808","8","9","68.2","18","1"
"1952","sf","12","106","208","51.0","1,407","11","12","66.3","-11","0"
"1953","sf","11","149","259","57.5","2,121","20","16","84.1","41","6"
"1954","sf","12","170","295","57.6","2,205","9","9","78.7","68","4"
"1955","sf","12","147","287","51.2","2,185","17","28","56.6","114","0"
"1956","sf","11","124","218","56.9","1,641","7","12","68.6","67","4"
"1957","sf","12","176","279","63.1","2,157","13","15","80.0","220","6"
"1958","sf","11","120","208","57.7","1,467","9","15","63.9","35","2"
"1959","sf","11","102","199","51.3","1,331","10","15","58.0","24","0"
"1960","sf","9","69","127","54.3","694","4","3","70.8","61","0"
"1961","nyg","13","163","285","57.2","2,272","17","12","85.3","85","3"
"1962","nyg","14","200","375","53.3","3,224","33","20","89.5","108","2"
"1963","nyg","13","221","367","60.2","3,145","36","14","104.8","99","2"
"1964","nyg","14","147","281","52.3","1,798","10","22","51.6","-7","1"
"career","career","179","2,118","3,817","55.5","28,339","212","221","73.6","999","33"
